epoch,training_loss,training_acc,val_loss,val_acc
0,1.6161216863781025,0.61785096,3.8215034008026123,0.122395836
1,1.7090716073467473,0.57202095,5.076786381857736,0.1298363
2,1.5192997594168232,0.6032212,4.7121694428580145,0.17522322
3,1.3330099962319537,0.65581876,8.488303184509277,0.12760417
4,1.5525916712299275,0.5798832,9.331427301679339,0.17819941
5,1.3420062008177398,0.64211786,5.414112772260394,0.15513393
6,1.1920307187517738,0.6838508,8.95451409476144,0.106770836
7,1.2478622004484674,0.6736001,15.681879452296666,0.16815476
8,1.185468860302761,0.68618965,7.088426998683384,0.21502976
9,1.042463608797948,0.73379445,6.508214337485177,0.1688988
10,0.9789992062149534,0.74081075,5.191266604832241,0.25669643
11,0.8812102466631847,0.7739185,5.409857000623431,0.3143601
12,0.8367144450260575,0.7853802,4.928010123116629,0.3296131
13,0.7599029508745594,0.8017516,4.723985058920724,0.30989584
14,0.6952602375464835,0.81828886,5.313365663800921,0.3377976
15,0.6594140000024419,0.82807523,5.331075872693743,0.32738096
16,0.6394042703945926,0.8371815,4.952914306095669,0.31287202
17,0.6157695341641736,0.844513,3.6084558963775635,0.3794643
18,0.5951837495823574,0.84724987,4.377321856362479,0.33035713
19,0.5876261878545117,0.8500531,3.4923451968601773,0.30691963
20,0.5300928849703187,0.8645004,3.943624802998134,0.30580357
21,0.5139029421813929,0.86864716,3.192594460078648,0.3418899
22,0.4724675764798359,0.87498343,3.3606371198381697,0.38206846
23,0.4318823242310885,0.8850186,3.532272849764143,0.3653274
24,0.41270927325555473,0.8923832,2.942056247166225,0.3359375
25,0.3921771029093463,0.8985536,2.216558115822928,0.40848213
26,0.3354261808904113,0.9167496,1.9611321006502425,0.39806548
27,0.3174637672343072,0.9172804,1.8903372628348214,0.5
28,0.2751758850066905,0.92923963,1.8684500455856323,0.54501486
29,0.2530574352498267,0.93683654,1.3846695252827235,0.53571427
30,0.2508751093795535,0.9354432,1.3544701508113317,0.5208333
31,0.2448774354567953,0.9320926,2.3888547079903737,0.6123512
32,0.22090115652057776,0.9403862,1.664578914642334,0.6030506
33,0.19033576960966087,0.95062035,1.2651408570153373,0.62313986
34,0.1863977774372621,0.9491275,1.2134670189448766,0.6692708
35,0.17684329362811557,0.9500564,1.3372655596051897,0.6376488
36,0.16358449814876744,0.95307523,1.2937461478369576,0.6744792
37,0.15768435176248383,0.955414,1.0076555269105094,0.7176339
38,0.14398087813240137,0.95911294,1.7046525478363037,0.66183037
39,0.12444029273732216,0.9651672,1.0045095596994673,0.7150298
40,0.10207173716170108,0.97072387,0.6952960065432957,0.79501486
41,0.08994070574445472,0.97405785,0.7930771878787449,0.79910713
42,0.08138534430248343,0.97574973,0.6786966494151524,0.83668154
43,0.07282052160341554,0.9773089,0.8507252931594849,0.7797619
44,0.07105462218206197,0.9778563,0.6614643675940377,0.8329613
45,0.06479814151379096,0.98084193,0.40262957555907114,0.89099705
46,0.06493708391297182,0.9802117,0.46757463472230093,0.85491073
47,0.06240833679156283,0.98095804,0.5114974592413221,0.87276787
48,0.05952049531231658,0.981804,0.7741701432636806,0.83147323
49,0.05584188237872307,0.98278266,0.4433645691190447,0.8630952
50,0.05361084983933266,0.9826499,0.4198704404490335,0.87574404
51,0.05015514090740282,0.98483944,0.5372758422579084,0.8389137
52,0.04608895342758483,0.9861664,0.4055858041558947,0.8869048
53,0.04439358544872576,0.98634887,0.5218364638941628,0.8125
54,0.04513991534247235,0.9862493,0.48399602089609417,0.85119045
55,0.04655486756081509,0.98598397,0.39870141233716694,0.8723958
56,0.04166110947499775,0.9874436,0.520765517439161,0.83147323
57,0.04737620170737593,0.9858181,0.5565186653818402,0.81845236
58,0.04380409488495985,0.98696256,0.40422856381961275,0.87425596
59,0.04231002311864393,0.9870621,0.45448172092437744,0.84040177
60,0.03964632504028683,0.98843884,0.5206607750483921,0.85230654
61,0.03733962675898372,0.98888665,0.39657714537211824,0.9036458
